round,train_loss,train_acc,test_acc
64,0.5921907939686892,0.8950749464668094,0.892
65,0.5863717698932843,0.8982869379014989,0.9
66,0.5808639651607139,0.8982869379014989,0.884
67,0.5732493084283024,0.8940042826552462,0.88
68,0.5681958850991675,0.8982869379014989,0.9
69,0.56260554586603,0.9004282655246253,0.892
70,0.5588337732778116,0.9004282655246253,0.896
71,0.5553996534958259,0.9014989293361885,0.904
72,0.5535502550561117,0.8982869379014989,0.884
73,0.5501626974940939,0.8950749464668094,0.888
74,0.5457245888352011,0.8982869379014989,0.904
75,0.5405121462088581,0.9036402569593148,0.904
76,0.5366541834137297,0.9004282655246253,0.9
77,0.533208368397946,0.9079229122055674,0.896
78,0.5300483700422455,0.9122055674518201,0.896
79,0.5253430133729343,0.9100642398286938,0.896
80,0.5220530086238838,0.9068522483940042,0.888
81,0.5186085017354126,0.9068522483940042,0.892
82,0.5179802939790347,0.9057815845824411,0.892
83,0.5146784951523489,0.9036402569593148,0.9
84,0.5110562974686796,0.8982869379014989,0.896
85,0.5071634469470069,0.9057815845824411,0.9
86,0.503052315210058,0.9047109207708779,0.896
87,0.500148789330966,0.9068522483940042,0.896
88,0.4956041489921239,0.9068522483940042,0.904
89,0.49195980100356024,0.9025695931477516,0.9
90,0.48928125658944027,0.9025695931477516,0.9
91,0.4851674548324349,0.9047109207708779,0.9
92,0.48317555670389145,0.9100642398286938,0.9
93,0.48097383350979467,0.9036402569593148,0.904
94,0.47924882469487395,0.9004282655246253,0.904
95,0.47491773304068813,0.9036402569593148,0.904
96,0.4707258546393867,0.9100642398286938,0.904
97,0.4678058633042352,0.9132762312633833,0.896
98,0.4659357223803341,0.9164882226980728,0.896
99,0.4642642472513674,0.9100642398286938,0.9
100,0.46367054948347924,0.911134903640257,0.9
101,0.46086733950186337,0.9122055674518201,0.892
102,0.4582495221058485,0.9164882226980728,0.904
103,0.4557568676195385,0.9164882226980728,0.9
104,0.45123758072899034,0.9164882226980728,0.904
105,0.449978665275224,0.9197002141327623,0.904
106,0.4476033737743373,0.9197002141327623,0.896
107,0.44513702931429,0.9164882226980728,0.908
108,0.4426564755520486,0.9197002141327623,0.904
109,0.4397551133087986,0.917558886509636,0.904
110,0.43752388706394896,0.917558886509636,0.904
111,0.4346345488133599,0.9218415417558886,0.904
112,0.43216790034329994,0.923982869379015,0.904
113,0.4304943113434238,0.9197002141327623,0.904
114,0.4284888577450075,0.9207708779443254,0.9
115,0.4270720325641701,0.9164882226980728,0.904
116,0.4254430142456638,0.9164882226980728,0.908
117,0.422161440989222,0.917558886509636,0.908
118,0.4216209972632263,0.9154175588865097,0.908
119,0.41837298766783654,0.917558886509636,0.908
120,0.4170084806474233,0.917558886509636,0.908
121,0.41436479836542806,0.9164882226980728,0.908
122,0.4116839279382783,0.9197002141327623,0.908
123,0.41087645967540826,0.9164882226980728,0.908
124,0.41011288317371103,0.917558886509636,0.904
125,0.40784831749917483,0.9154175588865097,0.904
126,0.4048991466431661,0.9186295503211992,0.908
127,0.4035614464049102,0.917558886509636,0.908
128,0.4027686659884849,0.9164882226980728,0.904
129,0.4003741568955543,0.917558886509636,0.908
130,0.3981743013641819,0.9154175588865097,0.896
131,0.39746169235788653,0.9100642398286938,0.896
132,0.3960364967608541,0.9068522483940042,0.904
133,0.3945422728308646,0.9122055674518201,0.9
134,0.39222069225040695,0.9186295503211992,0.9
135,0.39079651795726517,0.9250535331905781,0.908
136,0.38805970051016747,0.9261241970021413,0.908
137,0.38631986114306166,0.9229122055674518,0.9
138,0.38509204385032364,0.9261241970021413,0.908
139,0.3841760157820882,0.923982869379015,0.908
140,0.38138897412673944,0.9261241970021413,0.908
141,0.37950429284438586,0.9271948608137045,0.908
142,0.3769879244722633,0.9271948608137045,0.908
143,0.37583366721645156,0.9250535331905781,0.908
144,0.37467171929026827,0.9229122055674518,0.9
145,0.373077907541675,0.9282655246252677,0.9
146,0.37184954657193425,0.9282655246252677,0.904
147,0.37076643766631917,0.9325481798715204,0.904
148,0.36832465109369483,0.9293361884368309,0.904
149,0.36724551061539246,0.9336188436830836,0.904
150,0.3673784919521857,0.9314775160599572,0.904
151,0.3678303292894644,0.9229122055674518,0.9
152,0.364999031313003,0.930406852248394,0.904
153,0.3625636701880928,0.930406852248394,0.904
154,0.36110986942102297,0.9325481798715204,0.904
155,0.3594161950817583,0.9261241970021413,0.908
156,0.3586936470268721,0.9293361884368309,0.904
157,0.3558496671810555,0.930406852248394,0.904
158,0.35364353024785666,0.9346895074946466,0.904
159,0.35288732317405924,0.9336188436830836,0.9
160,0.3514387938223891,0.9293361884368309,0.904
161,0.35008071762224463,0.9325481798715204,0.904
162,0.3488921206564158,0.9293361884368309,0.912
163,0.3477214909631288,0.9282655246252677,0.912
164,0.34565683333621994,0.9250535331905781,0.916
165,0.34594443332148633,0.9229122055674518,0.908
166,0.3442125773492092,0.9218415417558886,0.908
167,0.34237696540918866,0.923982869379015,0.908
168,0.341524611277071,0.923982869379015,0.908
169,0.3401431210710003,0.9218415417558886,0.908
170,0.33942211864065436,0.923982869379015,0.904
171,0.33891828576346156,0.9250535331905781,0.908
172,0.3390889605686739,0.9250535331905781,0.9
173,0.3374340096109684,0.9229122055674518,0.908
174,0.33588759134258334,0.9250535331905781,0.904
175,0.3350694552861649,0.9261241970021413,0.908
176,0.33367692409541927,0.9218415417558886,0.904
177,0.3326622478931153,0.9207708779443254,0.912
178,0.33155092922472085,0.9229122055674518,0.912
179,0.3299387873746694,0.9250535331905781,0.912
180,0.32872359542778395,0.9282655246252677,0.916
181,0.32866123990740076,0.923982869379015,0.912
182,0.32763211404988485,0.9271948608137045,0.912
183,0.32732246823935934,0.923982869379015,0.916
184,0.3270487787892017,0.9282655246252677,0.908
185,0.32303956272858303,0.9379014989293362,0.904
186,0.32193335162663167,0.9379014989293362,0.9
187,0.32218198626196487,0.9336188436830836,0.904
188,0.3217373976116996,0.9293361884368309,0.908
189,0.32050890648613906,0.9325481798715204,0.904
190,0.3191519834188948,0.9346895074946466,0.904
191,0.3190412723620839,0.9336188436830836,0.904
192,0.31839453545648294,0.9346895074946466,0.904
193,0.31673611944633073,0.9336188436830836,0.904
194,0.31438408563276493,0.9346895074946466,0.904
195,0.31285930070746887,0.9357601713062098,0.912
196,0.31139823441977993,0.9336188436830836,0.912
197,0.31112039088205745,0.9336188436830836,0.912
198,0.3102513284899087,0.9336188436830836,0.912
199,0.3087655340762095,0.9336188436830836,0.916
200,0.3087655340762095,0.9346895074946466,0.912
