round,train_loss,train_acc,test_acc
54,0.5380603455134709,0.8865096359743041,0.888
55,0.5348362947477135,0.8907922912205567,0.896
56,0.5298699301924772,0.8940042826552462,0.896
57,0.5254566566240864,0.8886509635974305,0.888
58,0.5208635891626172,0.8972162740899358,0.896
59,0.5166806381044219,0.9057815845824411,0.896
60,0.5136985804734061,0.8982869379014989,0.896
61,0.511038089111224,0.892933618843683,0.88
62,0.5086547440073474,0.8897216274089935,0.884
63,0.5061262601097084,0.8918629550321199,0.884
64,0.49917325043225186,0.8950749464668094,0.888
65,0.49343709756542453,0.9004282655246253,0.888
66,0.4893828403380175,0.8961456102783726,0.884
67,0.4815211301585719,0.8982869379014989,0.892
68,0.47765007030370404,0.9036402569593148,0.892
69,0.4716737676148624,0.9068522483940042,0.904
70,0.46814033958255225,0.9068522483940042,0.9
71,0.46501953605107754,0.9079229122055674,0.9
72,0.4654819416340911,0.9014989293361885,0.896
73,0.4634861800883452,0.9036402569593148,0.896
74,0.4590064431809894,0.8993576017130621,0.896
75,0.45384984016338686,0.9100642398286938,0.896
76,0.4499400465308471,0.9089935760171306,0.9
77,0.4471554354279914,0.9132762312633833,0.896
78,0.44424400684409787,0.9122055674518201,0.892
79,0.44002138942926805,0.9218415417558886,0.9
80,0.43762874317692485,0.9164882226980728,0.9
81,0.43484728095347036,0.9218415417558886,0.896
82,0.43512886205022033,0.9197002141327623,0.896
83,0.43269332869245614,0.9100642398286938,0.896
84,0.42964066214045826,0.9068522483940042,0.908
85,0.4257154613414209,0.9132762312633833,0.896
86,0.42205704829597757,0.917558886509636,0.896
87,0.4196224036672386,0.9143468950749465,0.896
88,0.41563296580898557,0.9143468950749465,0.9
89,0.4123869919690764,0.9047109207708779,0.9
90,0.40953413355593,0.9079229122055674,0.908
91,0.40605091896681894,0.911134903640257,0.896
92,0.40412664354023,0.9122055674518201,0.896
93,0.4024321365088416,0.9089935760171306,0.9
94,0.4006459580961719,0.911134903640257,0.912
95,0.39692239818707653,0.9164882226980728,0.9
96,0.3933287494530706,0.9293361884368309,0.896
97,0.3915744344374799,0.9218415417558886,0.892
98,0.39049602087738683,0.923982869379015,0.896
99,0.38912558542440867,0.9250535331905781,0.896
100,0.38901022454719725,0.9261241970021413,0.896
101,0.3863704503898766,0.9229122055674518,0.9
102,0.3839721518191778,0.9271948608137045,0.9
103,0.38168111823227985,0.9261241970021413,0.904
104,0.37709331502080984,0.9250535331905781,0.904
105,0.37595438362125155,0.9261241970021413,0.904
106,0.3747332311281236,0.9229122055674518,0.904
107,0.37318226340081245,0.9282655246252677,0.908
108,0.37145087806152965,0.9271948608137045,0.904
109,0.3689122074772255,0.9261241970021413,0.9
110,0.3671976038926865,0.9282655246252677,0.904
111,0.36508647127104904,0.9271948608137045,0.9
112,0.36281027906919316,0.9282655246252677,0.9
113,0.36126886605737807,0.9314775160599572,0.904
114,0.3598146092274268,0.9282655246252677,0.904
